year,month,day,MJD,UT1_UTC,sigma,DeltaT
1972,1,1,41317,-0.0454859,0.0019,42.2294859
1972,1,2,41318,-0.0481008,0.0019,42.2321008
1972,1,3,41319,-0.0509077,0.0019,42.2349077
1972,1,4,41320,-0.0538936,0.0019,42.2378936
1972,1,5,41321,-0.0570195,0.0019,42.2410195
1972,1,6,41322,-0.0602134,0.0019,42.2442134
1972,1,7,41323,-0.0634283,0.0019,42.2474283
1972,1,8,41324,-0.0665972,0.0019,42.2505972
1972,1,9,41325,-0.0696791,0.0019,42.2536791
1972,1,10,41326,-0.072646,0.0019,42.256646
1972,1,11,41327,-0.0754839,0.0019,42.2594839
1972,1,12,41328,-0.0782088,0.0019,42.2622088
1972,1,13,41329,-0.0808457,0.0019,42.2648457
1972,1,14,41330,-0.0834756,0.0019,42.2674756
1972,1,15,41331,-0.0861595,0.0019,42.2701595
1972,1,16,41332,-0.0889954,0.0019,42.2729954
1972,1,17,41333,-0.0920563,0.0019,42.2760563
1972,1,18,41334,-0.0953802,0.0019,42.2793802
1972,1,19,41335,-0.0989651,0.0019,42.2829651
1972,1,20,41336,-0.102757,0.0019,42.286757
1972,1,21,41337,-0.1066459,0.0019,42.2906459
1972,1,22,41338,-0.1104778,0.0019,42.2944778
1972,1,23,41339,-0.1141587,0.0019,42.2981587
1972,1,24,41340,-0.1176086,0.0019,42.3016086
1972,1,25,41341,-0.1208075,0.0019,42.3048075
1972,1,26,41342,-0.1238134,0.0019,42.3078134
1972,1,27,41343,-0.1267113,0.0019,42.3107113
1972,1,28,41344,-0.1296192,0.0019,42.3136192
1972,1,29,41345,-0.1326401,0.0019,42.3166401
1972,1,30,41346,-0.135834,0.0019,42.319834
1972,1,31,41347,-0.1392209,0.0019,42.3232209
1972,2,1,41348,-0.1427668,0.0019,42.3267668
1972,2,2,41349,-0.1464147,0.0019,42.3304147
1972,2,3,41350,-0.1501106,0.0019,42.3341106
1972,2,4,41351,-0.1537675,0.0019,42.3377675
1972,2,5,41352,-0.1573194,0.0019,42.3413194
1972,2,6,41353,-0.1607483,0.0019,42.3447483
1972,2,7,41354,-0.1640172,0.0019,42.3480172
1972,2,8,41355,-0.1671311,0.0019,42.3511311
1972,2,9,41356,-0.170122,0.0019,42.354122
1972,2,10,41357,-0.1730219,0.0019,42.3570219
1972,2,11,41358,-0.1759038,0.0019,42.3599038
1972,2,12,41359,-0.1788787,0.0019,42.3628787
1972,2,13,41360,-0.1820136,0.0019,42.3660136
1972,2,14,41361,-0.1853935,0.0019,42.3693935
1972,2,15,41362,-0.1890314,0.0019,42.3730314
1972,2,16,41363,-0.1929123,0.0019,42.3769123
1972,2,17,41364,-0.1969072,0.0019,42.3809072
1972,2,18,41365,-0.2008901,0.0019,42.3848901
1972,2,19,41366,-0.204706,0.0019,42.388706
1972,2,20,41367,-0.2082679,0.0019,42.3922679
1972,2,21,41368,-0.2115408,0.0019,42.3955408
1972,2,22,41369,-0.2145778,0.0019,42.3985778
1972,2,23,41370,-0.2174737,0.0019,42.4014737
1972,2,24,41371,-0.2203586,0.0019,42.4043586
1972,2,25,41372,-0.2233065,0.0019,42.4073065
1972,2,26,41373,-0.2264074,0.0019,42.4104074
1972,2,27,41374,-0.2296923,0.0019,42.4136923
1972,2,28,41375,-0.2331582,0.0019,42.4171582
1972,2,29,41376,-0.2367521,0.0019,42.4207521
1972,3,1,41377,-0.240395,0.0019,42.424395
1972,3,2,41378,-0.2440249,0.0019,42.4280249
1972,3,3,41379,-0.2475898,0.0019,42.4315898
1972,3,4,41380,-0.2510217,0.0019,42.4350217
1972,3,5,41381,-0.2543156,0.0019,42.4383156
1972,3,6,41382,-0.2574615,0.0019,42.4414615
1972,3,7,41383,-0.2604714,0.0019,42.4444714
1972,3,8,41384,-0.2633983,0.0019,42.4473983
1972,3,9,41385,-0.2662972,0.0019,42.4502972
1972,3,10,41386,-0.2692491,0.0019,42.4532491
1972,3,11,41387,-0.272352,0.0019,42.456352
1972,3,12,41388,-0.27568,0.0019,42.45968
1972,3,13,41389,-0.2792889,0.0019,42.4632889
1972,3,14,41390,-0.2831778,0.0019,42.4671778
1972,3,15,41391,-0.2872767,0.0019,42.4712767
1972,3,16,41392,-0.2914486,0.0019,42.4754486
1972,3,17,41393,-0.2955415,0.0019,42.4795415
1972,3,18,41394,-0.2993964,0.0019,42.4833964
1972,3,19,41395,-0.3029563,0.0019,42.4869563
1972,3,20,41396,-0.3062392,0.0019,42.4902392
1972,3,21,41397,-0.3093421,0.0019,42.4933421
1972,3,22,41398,-0.312365,0.0019,42.496365
1972,3,23,41399,-0.3154329,0.0019,42.4994329
1972,3,24,41400,-0.3186218,0.0019,42.5026218
1972,3,25,41401,-0.3219687,0.0019,42.5059687
1972,3,26,41402,-0.3254717,0.0019,42.5094717
1972,3,27,41403,-0.3290956,0.0019,42.5130956
1972,3,28,41404,-0.3327855,0.0019,42.5167855
1972,3,29,41405,-0.3364864,0.0019,42.5204864
1972,3,30,41406,-0.3401333,0.0019,42.5241333
1972,3,31,41407,-0.3436732,0.0019,42.5276732
1972,4,1,41408,-0.3470731,0.0019,42.5310731
1972,4,2,41409,-0.350325,0.0019,42.534325
1972,4,3,41410,-0.3534539,0.0019,42.5374539
1972,4,4,41411,-0.3564968,0.0019,42.5404968
1972,4,5,41412,-0.3595117,0.0019,42.5435117
1972,4,6,41413,-0.3625677,0.0019,42.5465677
1972,4,7,41414,-0.3657436,0.0019,42.5497436
1972,4,8,41415,-0.3691205,0.0019,42.5531205
1972,4,9,41416,-0.3727434,0.0019,42.5567434
1972,4,10,41417,-0.3766533,0.0019,42.5606533
1972,4,11,41418,-0.3808232,0.0019,42.5648232
1972,4,12,41419,-0.3851471,0.0019,42.5691471
1972,4,13,41420,-0.389478,0.0019,42.573478
1972,4,14,41421,-0.3936569,0.0019,42.5776569
1972,4,15,41422,-0.3975619,0.0019,42.5815619
1972,4,16,41423,-0.4011628,0.0019,42.5851628
1972,4,17,41424,-0.4045077,0.0019,42.5885077
1972,4,18,41425,-0.4077136,0.0019,42.5917136
1972,4,19,41426,-0.4109075,0.0019,42.5949075
1972,4,20,41427,-0.4141874,0.0019,42.5981874
1972,4,21,41428,-0.4175983,0.0019,42.6015983
1972,4,22,41429,-0.4211392,0.0019,42.6051392
1972,4,23,41430,-0.4247781,0.0019,42.6087781
1972,4,24,41431,-0.4284641,0.0019,42.6124641
1972,4,25,41432,-0.432139,0.0019,42.616139
1972,4,26,41433,-0.4357519,0.0019,42.6197519
1972,4,27,41434,-0.4392418,0.0019,42.6232418
1972,4,28,41435,-0.4425917,0.0019,42.6265917
1972,4,29,41436,-0.4457746,0.0019,42.6297746
1972,4,30,41437,-0.4488115,0.0019,42.6328115
1972,5,1,41438,-0.4517355,0.0019,42.6357355
1972,5,2,41439,-0.4545874,0.0019,42.6385874
1972,5,3,41440,-0.4574613,0.0019,42.6414613
1972,5,4,41441,-0.4604112,0.0019,42.6444112
1972,5,5,41442,-0.4635241,0.0019,42.6475241
1972,5,6,41443,-0.466864,0.0019,42.650864
1972,5,7,41444,-0.4704579,0.0019,42.6544579
1972,5,8,41445,-0.4743259,0.0019,42.6583259
1972,5,9,41446,-0.4783888,0.0019,42.6623888
1972,5,10,41447,-0.4825487,0.0019,42.6665487
1972,5,11,41448,-0.4866536,0.0019,42.6706536
1972,5,12,41449,-0.4905835,0.0019,42.6745835
1972,5,13,41450,-0.4942744,0.0019,42.6782744
1972,5,14,41451,-0.4977083,0.0019,42.6817083
1972,5,15,41452,-0.5009773,0.0019,42.6849773
1972,5,16,41453,-0.5042002,0.0019,42.6882002
1972,5,17,41454,-0.5074951,0.0019,42.6914951
1972,5,18,41455,-0.510902,0.0019,42.694902
1972,5,19,41456,-0.5144409,0.0019,42.6984409
1972,5,20,41457,-0.5180888,0.0019,42.7020888
1972,5,21,41458,-0.5217768,0.0019,42.7057768
1972,5,22,41459,-0.5254537,0.0019,42.7094537
1972,5,23,41460,-0.5290426,0.0019,42.7130426
1972,5,24,41461,-0.5325015,0.0019,42.7165015
1972,5,25,41462,-0.5357864,0.0019,42.7197864
1972,5,26,41463,-0.5388853,0.0019,42.7228853
